Cidade,# Revisões,# Revisões de Hotel,# Votos Úteis,Período,Tipo,Animadores,Academia,Quadra de Tenis,Spa,Piscina,Wifi Free,Nome do Hotel,# Estrelas,Qtde Quartos,# Anos como membro,Mês da Revisão,Dia da Revisão,Pontuação
Goiânia,11,4,13,Dez-Fev,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,9,Janeiro,Quinta-Feira,5
Goiânia,119,21,75,Dez-Fev,Negócios,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,3,Janeiro,Sexta-Feira,3
Goiânia,36,9,25,Mar-Mai,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,2,Fevereiro,Sábado,5
Brasília,14,7,14,Mar-Mai,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,6,Fevereiro,Sexta-Feira,4
Uberlândia,5,5,2,Mar-Mai,Sozinho,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,7,Março,Terça-feira,4
Uberlândia,31,8,27,Mar-Mai,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,2,Março,Terça-feira,3
Brasília,45,12,46,Mar-Mai,Casais,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,4,Abril,Sexta-Feira,4
Goiânia,2,1,4,Mar-Mai,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,0,Abril,Terça-feira,4
São Paulo,24,3,8,Mar-Mai,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,3,Maio,Sábado,4
Uberlândia,12,7,11,Mar-Mai,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,5,Maio,Terça-feira,3
Goiânia,102,24,58,Jun-Ago,Família,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,9,Junho,Sexta-Feira,2
Uberaba,20,9,24,Jun-Ago,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,4,Junho,Sábado,3
Goiânia,7,6,9,Jun-Ago,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,1,Julho,Quarta-feira,2
Goiânia,22,5,13,Jun-Ago,Amigos,NÃO,SIM,NÃO,NÃO,SIM,SIM,Hotel Morada das Águas,3,38,1,Julho,Quinta-Feira,3
